"id","title","status","priority","phase","epic","estimatePoints","owner","dependsOn","scope","acceptanceCriteria","progressNotes"
"pricing-consistency-audit","Verify pricing consistency across app and billing","done","high","phase-0","pricing","3","unassigned","","Subscription UI pricing labels and ordering | Prisma plan seed values | Stripe price mapping and webhook handling","All user-visible pricing uses Free / Basic / Business / Pro | Seeded plans and Stripe mapping match UI tiers | No mismatched plan names in API responses or docs","Fixed landing pricing labels to align with Basic / Business / Pro and removed Ultimate naming. | Confirmed Stripe price mapping for BASIC / BUSINESS / PRO in billing webhook. | Updated FREE seed description to \"Free plan for new users\"."
"pricing-tier-positioning","Confirm Business tier launch positioning","todo","medium","phase-0","pricing","2","unassigned","pricing-consistency-audit","Decide whether Business is a permanent public tier | Confirm pricing copy for Thai market launch","Decision recorded in project-context/decisions.md | Marketing and product copy reflect final tier strategy",""
"auth-production-hardening","Harden auth for production readiness","done","high","phase-1","auth","8","unassigned","","Frontend access-token refresh flow with retry | Replace auth email URL console logs with real mail provider | Add auth integration tests for register/login/refresh/logout/reset","Expired access token can recover through refresh without forcing re-login | Verify-email and reset-password send through configured mail provider | Auth critical-path tests pass in CI/local","Completed frontend refresh flow with automatic retry through shared web API client. | Added integration test coverage for 401 -> /auth/refresh -> retried request success in apps/web/src/lib/api-client.test.ts. | Wired API auth verification/reset email sending to Resend via EmailService and removed auth URL console log placeholders. | Added passing API integration tests for register/login/refresh/logout/reset in apps/api/src/modules/auth/auth.integration.test.ts. | Hardened backend auth by making DI explicit for auth controller/service/repository under the current test runtime and ensuring refresh token rotation includes a unique jti. | Added verify-email route coverage to the API auth integration suite, including send-verification-email -> verify-email -> emailVerified assertion. | Fixed the billing webhook Stripe typing so package-wide API typecheck is green again. | Added a GitHub Actions workflow that provisions Postgres, pushes the Prisma schema, seeds plans, runs the focused API auth integration suite, and runs API typecheck. | GitHub Actions API auth workflow is now green."
"auth-rate-limit-and-abuse-guard","Add auth abuse protection","todo","high","phase-1","auth","3","unassigned","auth-production-hardening","Rate limit login and password reset endpoints | Ensure user-friendly Thai-safe error responses","Brute-force attempts are throttled | No sensitive auth internals leak in error responses",""
"billing-checkout-success-path","Validate checkout to active subscription path","todo","high","phase-1","billing","5","unassigned","pricing-consistency-audit","Checkout session creation | Webhook processing for subscription upsert | Workspace current subscription update","Successful Stripe checkout updates active plan in DB | Dashboard shows updated plan without manual DB fixes",""
"billing-failure-and-cancel-path","Implement payment failed and cancel experience","todo","medium","phase-1","billing","3","unassigned","billing-checkout-success-path","invoice.payment_failed handling | cancel at period end UX + API | fallback to free plan handling","Failed payment status is visible and actionable | Cancel flow is reversible before period end",""
"plan-gating-enforcement","Enforce plan limits across site and page operations","todo","high","phase-1","billing","5","unassigned","billing-checkout-success-path","maxSites and maxPagesPerSite enforcement | Consistent errors for over-limit actions | Upgrade prompt links when blocked","Limit enforcement is consistent in API and UI | Users understand why action is blocked and how to upgrade",""
"builder-sections-core","Deliver MVP section builder schema and editing","todo","critical","phase-2","builder","8","unassigned","auth-production-hardening","Hero, Text, Image, CTA, Form sections | Section JSON validation and persistence | Simple section ordering","User can create and edit required MVP sections | Invalid section payloads are rejected with clear messages",""
"builder-page-editing-flow","Finalize page CRUD editing workflow","todo","high","phase-2","builder","5","unassigned","builder-sections-core","Create/edit/delete page | Slug/path uniqueness feedback | Published vs draft state","Non-technical user can manage page lifecycle without confusion | Path and publish errors are clear and recoverable",""
"publish-public-render","Implement public render route for published pages","todo","critical","phase-2","publishing","8","unassigned","builder-page-editing-flow","Resolve site and page by domain/slug | Render section JSON to public page | Return 404 for unpublished or missing pages","Published pages are reachable from public URL | Draft pages are not publicly visible",""
"publish-seo-metadata","Add SEO metadata output on public pages","todo","medium","phase-2","publishing","3","unassigned","publish-public-render","Title, description, keywords, OG image | Fallback to site defaults when page metadata is empty","Page metadata is visible in page source | Defaults are applied consistently",""
"forms-schema-and-submission","Deliver form capture and submission storage","todo","critical","phase-2","forms","8","unassigned","builder-sections-core","Form fields: name, email, phone, message | Submission endpoint and validation | Store lead with page and site context","Visitor can submit lead form successfully | Lead record is queryable in dashboard",""
"forms-notification-email","Send lead notification via email","todo","high","phase-2","forms","5","unassigned","forms-schema-and-submission","Transactional email template | Failure-safe retry behavior","Lead submission triggers notification email | Transient failures do not lose lead data",""
"forms-notification-line","Send lead notification via LINE","todo","high","phase-2","forms","5","unassigned","forms-schema-and-submission","LINE notification integration | Workspace-level LINE config","Lead submission can notify via LINE | Integration can be disabled without breaking forms",""
"dashboard-sites-and-pages","Stabilize dashboard site and page management UX","todo","high","phase-3","dashboard","5","unassigned","builder-page-editing-flow | plan-gating-enforcement","Site switcher and page list consistency | Clear empty states and limit messages | Mobile-friendly controls","Thai SME user can find and manage pages quickly on mobile | No dead-end UI states in dashboard",""
"dashboard-leads-view","Add leads list view in dashboard","todo","high","phase-3","dashboard","3","unassigned","forms-schema-and-submission","List latest leads per site | Basic filters by date and page","User can view new leads and key contact fields | Page context is visible for each lead",""
"dashboard-subscription-view","Finalize subscription management screen","todo","medium","phase-3","dashboard","3","unassigned","billing-checkout-success-path | billing-failure-and-cancel-path","Current plan and renewal visibility | Upgrade and cancel actions","User can understand plan status without support | Upgrade and cancel paths are one-click reachable",""
"templates-mvp-pack","Prepare MVP starter templates","todo","medium","phase-3","templates","5","unassigned","builder-sections-core","Template seeds: product, service, clinic, restaurant | One-click template apply to new site","New user can start from a ready template | Template content is editable and publishable",""
"mobile-first-ux-pass","Run mobile-first UX pass on all MVP flows","todo","high","phase-3","quality","5","unassigned","dashboard-sites-and-pages | dashboard-leads-view | dashboard-subscription-view","Register/login | Create/edit/publish page | Submit form and review leads | Upgrade plan","All major flows are usable on phone without horizontal scroll | Primary actions are clear and tappable",""
"performance-budget-pass","Meet MVP performance baseline","todo","high","phase-3","quality","3","unassigned","publish-public-render","Public page first load performance | Dashboard route responsiveness | Avoid heavy client bundles for core flows","Public pages feel fast on mid-range mobile | No obvious UI jank in core actions",""
"integration-test-suite-mvp","Build MVP integration test suite","todo","high","phase-3","quality","8","unassigned","auth-production-hardening | billing-checkout-success-path | forms-schema-and-submission | publish-public-render","Auth flow tests | Billing webhook tests | Site/page CRUD tests | Form submission tests","Critical MVP flows have automated regression coverage | Test suite runs in CI with stable results",""
"staging-release-pipeline","Prepare staging release pipeline","todo","medium","phase-3","release","5","unassigned","integration-test-suite-mvp","API, web, and worker deploy flow | Environment variable checklist | Rollback notes","One command or one pipeline can deploy staging | Team can verify MVP end-to-end on staging",""
"mvp-uat-thai-sme","Run UAT checklist with Thai SME perspective","todo","high","phase-3","release","3","unassigned","mobile-first-ux-pass | staging-release-pipeline","Task-based walkthrough for non-technical users | Copy clarity and error message clarity | Pricing and upgrade comprehension","No critical confusion in onboarding and publish flow | Top UAT issues are fixed or explicitly deferred",""
"mvp-go-live-checklist","Finalize MVP go-live checklist","todo","critical","phase-3","release","2","unassigned","mvp-uat-thai-sme","Production config review | Monitoring and alert checks | Backup and incident response notes","Launch checklist is signed off | MVP is ready for controlled release",""
